chr	start	end	strand	ens_id	description	symbol	miRBase_ID
chr1	43448539	43448611	+	ENSG00000274975	microRNA 6735 [Source:HGNC Symbol;Acc:HGNC:50126]	MIR6735	hsa-mir-6735
chr1	43838622	43838683	+	ENSG00000283477	microRNA 6079 [Source:HGNC Symbol;Acc:HGNC:50114]	MIR6079	hsa-mir-6079
chr1	44545493	44545552	+	ENSG00000263381	microRNA 5584 [Source:HGNC Symbol;Acc:HGNC:43507]	MIR5584	hsa-mir-5584
chr1	51059837	51059905	+	ENSG00000265538	microRNA 4421 [Source:HGNC Symbol;Acc:HGNC:41879]	MIR4421	hsa-mir-4421
chr1	51060018	51060103	+	ENSG00000275816	microRNA 6500 [Source:HGNC Symbol;Acc:HGNC:49935]	MIR6500	hsa-mir-6500
chr1	51836344	51836402	-	ENSG00000283899	microRNA 761 [Source:HGNC Symbol;Acc:HGNC:37305]	MIR761	hsa-mir-761
chr1	52928674	52928772	+	ENSG00000264834	microRNA 1273f [Source:HGNC Symbol;Acc:HGNC:41733]	MIR1273F	hsa-mir-1273f
chr1	52934930	52935017	+	ENSG00000266188	microRNA 5095 [Source:HGNC Symbol;Acc:HGNC:41849]	MIR5095	hsa-mir-5095
chr1	52940314	52940413	+	ENSG00000265815	microRNA 1273g [Source:HGNC Symbol;Acc:HGNC:41684]	MIR1273G	hsa-mir-1273g
chr1	54054079	54054154	+	ENSG00000283749	microRNA 4781 [Source:HGNC Symbol;Acc:HGNC:41769]	MIR4781	hsa-mir-4781
chr1	55225641	55225723	+	ENSG00000265822	microRNA 4422 [Source:HGNC Symbol;Acc:HGNC:41654]	MIR4422	hsa-mir-4422
chr1	59733227	59733296	-	ENSG00000266150	microRNA 4711 [Source:HGNC Symbol;Acc:HGNC:41847]	MIR4711	hsa-mir-4711
chr1	62078789	62078856	-	ENSG00000283690	microRNA 3116-2 [Source:HGNC Symbol;Acc:HGNC:38318]	MIR3116-2	hsa-mir-3116-2
chr1	63326925	63326984	-	ENSG00000275836	microRNA 6068 [Source:HGNC Symbol;Acc:HGNC:50261]	MIR6068	hsa-mir-6068
chr1	64579847	64579923	+	ENSG00000264470	microRNA 4794 [Source:HGNC Symbol;Acc:HGNC:41829]	MIR4794	hsa-mir-4794
chr1	65057755	65057842	-	ENSG00000265996	microRNA 3671 [Source:HGNC Symbol;Acc:HGNC:38925]	MIR3671	hsa-mir-3671
chr1	65058434	65058508	-	ENSG00000199135	microRNA 101-1 [Source:HGNC Symbol;Acc:HGNC:31488]	MIR101-1	hsa-mir-101-1
chr1	66628440	66628517	+	ENSG00000264720	microRNA 3117 [Source:HGNC Symbol;Acc:HGNC:38385]	MIR3117	hsa-mir-3117
chr1	68183518	68183610	-	ENSG00000221203	microRNA 1262 [Source:HGNC Symbol;Acc:HGNC:35328]	MIR1262	hsa-mir-1262
chr1	71067631	71067716	-	ENSG00000207721	microRNA 186 [Source:HGNC Symbol;Acc:HGNC:31557]	MIR186	hsa-mir-186
chr1	77060143	77060202	+	ENSG00000276081	microRNA 7156 [Source:HGNC Symbol;Acc:HGNC:50023]	MIR7156	hsa-mir-7156
chr1	85133794	85133873	+	ENSG00000266110	microRNA 4423 [Source:HGNC Symbol;Acc:HGNC:41784]	MIR4423	hsa-mir-4423
chr1	86357632	86357687	-	ENSG00000278281	microRNA 7856 [Source:HGNC Symbol;Acc:HGNC:50268]	MIR7856	hsa-mir-7856
chr1	93846832	93846911	+	ENSG00000211575	microRNA 760 [Source:HGNC Symbol;Acc:HGNC:33666]	MIR760	hsa-mir-760
chr1	94745860	94745900	-	ENSG00000263526	microRNA 378g [Source:HGNC Symbol;Acc:HGNC:41785]	MIR378G	hsa-mir-378g
chr1	98045242	98045351	-	ENSG00000284247	microRNA 2682 [Source:HGNC Symbol;Acc:HGNC:41688]	MIR2682	hsa-mir-2682
chr1	98046070	98046171	-	ENSG00000284202	microRNA 137 [Source:HGNC Symbol;Acc:HGNC:31523]	MIR137	hsa-mir-137
chr1	100281241	100281308	+	ENSG00000207750	microRNA 553 [Source:HGNC Symbol;Acc:HGNC:32809]	MIR553	hsa-mir-553
chr1	107897223	107897304	+	ENSG00000275455	microRNA 7852 [Source:HGNC Symbol;Acc:HGNC:50201]	MIR7852	hsa-mir-7852
chr1	109598893	109598967	+	ENSG00000284443	microRNA 197 [Source:HGNC Symbol;Acc:HGNC:31569]	MIR197	hsa-mir-197
chr1	112461770	112461833	-	ENSG00000283296	microRNA 4256 [Source:HGNC Symbol;Acc:HGNC:38388]	MIR4256	hsa-mir-4256
chr1	116560024	116560111	-	ENSG00000264419	microRNA 548ac [Source:HGNC Symbol;Acc:HGNC:41626]	MIR548AC	hsa-mir-548ac
chr1	116671749	116671827	+	ENSG00000211543	microRNA 320b-1 [Source:HGNC Symbol;Acc:HGNC:35247]	MIR320B1	hsa-mir-320b-1
chr1	117094643	117094728	+	ENSG00000215930	microRNA 942 [Source:HGNC Symbol;Acc:HGNC:33688]	MIR942	hsa-mir-942
chr1	145850587	145850645	-	ENSG00000278549	microRNA 6736 [Source:HGNC Symbol;Acc:HGNC:50072]	MIR6736	hsa-mir-6736
chr1	148334479	148334554	-	ENSG00000283676	microRNA 5087 [Source:HGNC Symbol;Acc:HGNC:43480]	MIR5087	hsa-mir-5087
chr1	148388282	148388363	+	ENSG00000278596	microRNA 6077 [Source:HGNC Symbol;Acc:HGNC:50025]	MIR6077	hsa-mir-6077
chr1	150492345	150492410	+	ENSG00000283933	microRNA 6878 [Source:HGNC Symbol;Acc:HGNC:50269]	MIR6878	hsa-mir-6878
chr1	150551929	150552014	+	ENSG00000264553	microRNA 4257 [Source:HGNC Symbol;Acc:HGNC:38312]	MIR4257	hsa-mir-4257
chr1	151545796	151545891	+	ENSG00000207606	microRNA 554 [Source:HGNC Symbol;Acc:HGNC:32810]	MIR554	hsa-mir-554
chr1	153689705	153689793	-	ENSG00000274940	microRNA 8083 [Source:HGNC Symbol;Acc:HGNC:50211]	MIR8083	hsa-mir-8083
chr1	153962351	153962420	-	ENSG00000276584	microRNA 6737 [Source:HGNC Symbol;Acc:HGNC:50273]	MIR6737	hsa-mir-6737
chr1	154104521	154104592	-	ENSG00000263987	microRNA 5698 [Source:HGNC Symbol;Acc:HGNC:43487]	MIR5698	hsa-mir-5698
chr1	154193665	154193743	-	ENSG00000215938	microRNA 190b [Source:HGNC Symbol;Acc:HGNC:33656]	MIR190B	hsa-mir-190b
chr1	154975693	154975783	+	ENSG00000264349	microRNA 4258 [Source:HGNC Symbol;Acc:HGNC:38281]	MIR4258	hsa-mir-4258
chr1	155195177	155195272	+	ENSG00000284586	microRNA 92b [Source:HGNC Symbol;Acc:HGNC:32920]	MIR92B	hsa-mir-92b
chr1	155346350	155346445	-	ENSG00000283701	microRNA 555 [Source:HGNC Symbol;Acc:HGNC:32811]	MIR555	hsa-mir-555
chr1	155951273	155951336	-	ENSG00000277817	microRNA 6738 [Source:HGNC Symbol;Acc:HGNC:49939]	MIR6738	hsa-mir-6738
chr1	156420341	156420429	-	ENSG00000207933	microRNA 9-1 [Source:HGNC Symbol;Acc:HGNC:31641]	MIR9-1	hsa-mir-9-1
chr1	156936131	156936244	-	ENSG00000211581	microRNA 765 [Source:HGNC Symbol;Acc:HGNC:33141]	MIR765	hsa-mir-765
chr1	159899979	159900079	-	ENSG00000266458	microRNA 4259 [Source:HGNC Symbol;Acc:HGNC:38309]	MIR4259	hsa-mir-4259
chr1	161227186	161227261	+	ENSG00000284035	microRNA 5187 [Source:HGNC Symbol;Acc:HGNC:43523]	MIR5187	hsa-mir-5187
chr1	162157107	162157182	+	ENSG00000266144	microRNA 4654 [Source:HGNC Symbol;Acc:HGNC:41643]	MIR4654	hsa-mir-4654
chr1	162342546	162342640	+	ENSG00000207729	microRNA 556 [Source:HGNC Symbol;Acc:HGNC:32812]	MIR556	hsa-mir-556
chr1	165907921	165907976	+	ENSG00000283936	microRNA 3658 [Source:HGNC Symbol;Acc:HGNC:38963]	MIR3658	hsa-mir-3658
chr1	166154743	166154798	-	ENSG00000215952	microRNA 921 [Source:HGNC Symbol;Acc:HGNC:33671]	MIR921	hsa-mir-921
chr1	167998660	167998726	+	ENSG00000221545	microRNA 1255b-2 [Source:HGNC Symbol;Acc:HGNC:35367]	MIR1255B2	hsa-mir-1255b-2
chr1	168375524	168375621	+	ENSG00000207974	microRNA 557 [Source:HGNC Symbol;Acc:HGNC:32813]	MIR557	hsa-mir-557
chr1	171101728	171101806	-	ENSG00000221390	microRNA 1295a [Source:HGNC Symbol;Acc:HGNC:35288]	MIR1295A	hsa-mir-1295a
chr1	171101739	171101798	+	ENSG00000283598	microRNA 1295b [Source:HGNC Symbol;Acc:HGNC:43524]	MIR1295B	hsa-mir-1295b
chr1	172138798	172138907	-	ENSG00000283844	microRNA 214 [Source:HGNC Symbol;Acc:HGNC:31591]	MIR214	hsa-mir-214
chr1	172138808	172138888	+	ENSG00000283152	microRNA 3120 [Source:HGNC Symbol;Acc:HGNC:38295]	MIR3120	hsa-mir-3120
chr1	172144535	172144644	-	ENSG00000208024	microRNA 199a-2 [Source:HGNC Symbol;Acc:HGNC:31572]	MIR199A2	hsa-mir-199a-2
chr1	177029363	177029445	-	ENSG00000202609	microRNA 488 [Source:HGNC Symbol;Acc:HGNC:32073]	MIR488	hsa-mir-488
chr1	178677749	178677834	+	ENSG00000266417	microRNA 4424 [Source:HGNC Symbol;Acc:HGNC:41805]	MIR4424	hsa-mir-4424
chr1	180438314	180438390	-	ENSG00000265435	microRNA 3121 [Source:HGNC Symbol;Acc:HGNC:38259]	MIR3121	hsa-mir-3121
chr1	192716328	192716390	+	ENSG00000283795	microRNA 4426 [Source:HGNC Symbol;Acc:HGNC:41848]	MIR4426	hsa-mir-4426
chr1	193136503	193136583	+	ENSG00000221680	microRNA 1278 [Source:HGNC Symbol;Acc:HGNC:35356]	MIR1278	hsa-mir-1278
chr1	196582413	196582481	-	ENSG00000265986	microRNA 4735 [Source:HGNC Symbol;Acc:HGNC:41888]	MIR4735	hsa-mir-4735
chr1	198858873	198858982	-	ENSG00000207975	microRNA 181b-1 [Source:HGNC Symbol;Acc:HGNC:31550]	MIR181B1	hsa-mir-181b-1
chr1	198859044	198859153	-	ENSG00000207759	microRNA 181a-1 [Source:HGNC Symbol;Acc:HGNC:31590]	MIR181A1	hsa-mir-181a-1
chr1	201719508	201719627	+	ENSG00000264802	microRNA 5191 [Source:HGNC Symbol;Acc:HGNC:43497]	MIR5191	hsa-mir-5191
chr1	201808611	201808702	+	ENSG00000221028	microRNA 1231 [Source:HGNC Symbol;Acc:HGNC:33921]	MIR1231	hsa-mir-1231
chr1	201863373	201863447	+	ENSG00000277681	microRNA 6739 [Source:HGNC Symbol;Acc:HGNC:50165]	MIR6739	hsa-mir-6739
chr1	202003124	202003236	+	ENSG00000275207	microRNA 6740 [Source:HGNC Symbol;Acc:HGNC:50082]	MIR6740	hsa-mir-6740
chr1	205448302	205448398	-	ENSG00000199059	microRNA 135b [Source:HGNC Symbol;Acc:HGNC:31760]	MIR135B	hsa-mir-135b
chr1	206474803	206474864	+	ENSG00000278465	microRNA 6769b [Source:HGNC Symbol;Acc:HGNC:50016]	MIR6769B	hsa-mir-6769b
chr1	207801852	207801939	-	ENSG00000284214	microRNA 29c [Source:HGNC Symbol;Acc:HGNC:31621]	MIR29C	hsa-mir-29c
chr1	207802443	207802523	-	ENSG00000284203	microRNA 29b-2 [Source:HGNC Symbol;Acc:HGNC:31620]	MIR29B2	hsa-mir-29b-2
chr1	209432133	209432242	+	ENSG00000284485	microRNA 205 [Source:HGNC Symbol;Acc:HGNC:31583]	MIR205	hsa-mir-205
chr1	209623444	209623510	-	ENSG00000283876	microRNA 4260 [Source:HGNC Symbol;Acc:HGNC:38179]	MIR4260	hsa-mir-4260
chr1	212077613	212077685	+	ENSG00000264358	microRNA 3122 [Source:HGNC Symbol;Acc:HGNC:38320]	MIR3122	hsa-mir-3122
chr1	220117853	220117962	-	ENSG00000207590	microRNA 215 [Source:HGNC Symbol;Acc:HGNC:31592]	MIR215	hsa-mir-215
chr1	220118157	220118241	-	ENSG00000207624	microRNA 194-1 [Source:HGNC Symbol;Acc:HGNC:31564]	MIR194-1	hsa-mir-194-1
chr1	220200538	220200619	-	ENSG00000281696	microRNA 664a [Source:HGNC Symbol;Acc:HGNC:35370]	MIR664A	hsa-mir-664a
chr1	224257004	224257141	-	ENSG00000221406	microRNA 320b-2 [Source:HGNC Symbol;Acc:HGNC:35256]	MIR320B2	hsa-mir-320b-2
chr1	224398227	224398311	-	ENSG00000266618	microRNA 4742 [Source:HGNC Symbol;Acc:HGNC:41565]	MIR4742	hsa-mir-4742
chr1	225922080	225922142	-	ENSG00000284519	microRNA 6741 [Source:HGNC Symbol;Acc:HGNC:50004]	MIR6741	hsa-mir-6741
chr1	227941590	227941683	-	ENSG00000264483	microRNA 5008 [Source:HGNC Symbol;Acc:HGNC:43546]	MIR5008	hsa-mir-5008
chr1	228097263	228097341	+	ENSG00000284163	microRNA 3620 [Source:HGNC Symbol;Acc:HGNC:38917]	MIR3620	hsa-mir-3620
chr1	228397048	228397109	-	ENSG00000284311	microRNA 6742 [Source:HGNC Symbol;Acc:HGNC:50090]	MIR6742	hsa-mir-6742
chr1	228462074	228462152	+	ENSG00000266174	microRNA 4666a [Source:HGNC Symbol;Acc:HGNC:41750]	MIR4666A	hsa-mir-4666a
chr1	231019828	231019924	-	ENSG00000283799	microRNA 1182 [Source:HGNC Symbol;Acc:HGNC:35263]	MIR1182	hsa-mir-1182
chr1	233624152	233624219	+	ENSG00000265744	microRNA 4427 [Source:HGNC Symbol;Acc:HGNC:41678]	MIR4427	hsa-mir-4427
chr1	234306467	234306539	+	ENSG00000264377	microRNA 4671 [Source:HGNC Symbol;Acc:HGNC:41598]	MIR4671	hsa-mir-4671
chr1	235190034	235190116	-	ENSG00000263439	microRNA 4753 [Source:HGNC Symbol;Acc:HGNC:41527]	MIR4753	hsa-mir-4753
chr1	235853000	235853060	-	ENSG00000222831	microRNA 1537 [Source:HGNC Symbol;Acc:HGNC:35381]	MIR1537	hsa-mir-1537
chr1	237471119	237471191	+	ENSG00000266262	microRNA 4428 [Source:HGNC Symbol;Acc:HGNC:41667]	MIR4428	hsa-mir-4428
chr1	241132272	241132346	+	ENSG00000265831	microRNA 3123 [Source:HGNC Symbol;Acc:HGNC:38330]	MIR3123	hsa-mir-3123
chr1	243346176	243346255	+	ENSG00000265201	microRNA 4677 [Source:HGNC Symbol;Acc:HGNC:41844]	MIR4677	hsa-mir-4677
chr1	247201967	247202060	-	ENSG00000283881	microRNA 3916 [Source:HGNC Symbol;Acc:HGNC:38912]	MIR3916	hsa-mir-3916
chr1	248826377	248826443	+	ENSG00000264500	microRNA 3124 [Source:HGNC Symbol;Acc:HGNC:38262]	MIR3124	hsa-mir-3124
chr10	641689	641778	-	ENSG00000263511	microRNA 5699 [Source:HGNC Symbol;Acc:HGNC:43456]	MIR5699	hsa-mir-5699
chr10	2076019	2076089	-	ENSG00000278069	microRNA 6072 [Source:HGNC Symbol;Acc:HGNC:50144]	MIR6072	hsa-mir-6072
chr10	3991160	3991259	+	ENSG00000274809	microRNA 6078 [Source:HGNC Symbol;Acc:HGNC:50136]	MIR6078	hsa-mir-6078
chr10	6152196	6152277	+	ENSG00000263628	microRNA 3155a [Source:HGNC Symbol;Acc:HGNC:38245]	MIR3155A	hsa-mir-3155a
chr10	6152207	6152262	-	ENSG00000283634	microRNA 3155b [Source:HGNC Symbol;Acc:HGNC:50003]	MIR3155B	hsa-mir-3155b
chr10	12130760	12130816	-	ENSG00000265653	microRNA 548ak [Source:HGNC Symbol;Acc:HGNC:41893]	MIR548AK	hsa-mir-548ak
chr10	12578753	12578823	+	ENSG00000263584	microRNA 4480 [Source:HGNC Symbol;Acc:HGNC:41716]	MIR4480	hsa-mir-4480
chr10	12653138	12653197	-	ENSG00000283699	microRNA 4481 [Source:HGNC Symbol;Acc:HGNC:41781]	MIR4481	hsa-mir-4481
chr10	12725254	12725353	-	ENSG00000221331	microRNA 548q [Source:HGNC Symbol;Acc:HGNC:37312]	MIR548Q	hsa-mir-548q
chr10	14383200	14383277	-	ENSG00000266321	microRNA 4293 [Source:HGNC Symbol;Acc:HGNC:38270]	MIR4293	hsa-mir-4293
chr10	14436576	14436661	+	ENSG00000221371	microRNA 1265 [Source:HGNC Symbol;Acc:HGNC:35332]	MIR1265	hsa-mir-1265
chr10	17845107	17845193	+	ENSG00000207938	microRNA 511 [Source:HGNC Symbol;Acc:HGNC:32077]	MIR511	hsa-mir-511
chr10	20551970	20552046	+	ENSG00000265372	microRNA 4675 [Source:HGNC Symbol;Acc:HGNC:41619]	MIR4675	hsa-mir-4675
chr10	21496562	21496641	-	ENSG00000222071	microRNA 1915 [Source:HGNC Symbol;Acc:HGNC:35399]	MIR1915	hsa-mir-1915
chr10	23393405	23393467	+	ENSG00000264574	microRNA 1254-2 [Source:HGNC Symbol;Acc:HGNC:41770]	MIR1254-2	hsa-mir-1254-2
chr10	24275685	24275781	+	ENSG00000207930	microRNA 603 [Source:HGNC Symbol;Acc:HGNC:32859]	MIR603	hsa-mir-603
chr10	28289258	28289350	-	ENSG00000275036	microRNA 8086 [Source:HGNC Symbol;Acc:HGNC:50107]	MIR8086	hsa-mir-8086
chr10	29545004	29545097	-	ENSG00000207612	microRNA 604 [Source:HGNC Symbol;Acc:HGNC:32860]	MIR604	hsa-mir-604
chr10	29602264	29602346	-	ENSG00000216035	microRNA 938 [Source:HGNC Symbol;Acc:HGNC:33681]	MIR938	hsa-mir-938
chr10	30368597	30368665	-	ENSG00000284277	microRNA 7162 [Source:HGNC Symbol;Acc:HGNC:50189]	MIR7162	hsa-mir-7162
chr10	35079598	35079680	-	ENSG00000266228	microRNA 3611 [Source:HGNC Symbol;Acc:HGNC:38914]	MIR3611	hsa-mir-3611
chr10	35641172	35641252	-	ENSG00000284265	microRNA 4683 [Source:HGNC Symbol;Acc:HGNC:41883]	MIR4683	hsa-mir-4683
chr10	42997563	42997681	+	ENSG00000263795	microRNA 5100 [Source:HGNC Symbol;Acc:HGNC:43540]	MIR5100	hsa-mir-5100
chr10	45164014	45164088	+	ENSG00000263476	microRNA 3156-1 [Source:HGNC Symbol;Acc:HGNC:38241]	MIR3156-1	hsa-mir-3156-1
chr10	48985512	48985587	-	ENSG00000264800	microRNA 4294 [Source:HGNC Symbol;Acc:HGNC:38180]	MIR4294	hsa-mir-4294
chr10	51299573	51299655	+	ENSG00000207813	microRNA 605 [Source:HGNC Symbol;Acc:HGNC:32861]	MIR605	hsa-mir-605
chr10	54607874	54607957	-	ENSG00000221594	microRNA 548f-1 [Source:HGNC Symbol;Acc:HGNC:35305]	MIR548F1	hsa-mir-548f-1
chr10	57304479	57304559	-	ENSG00000264747	microRNA 3924 [Source:HGNC Symbol;Acc:HGNC:38984]	MIR3924	hsa-mir-3924
chr10	63372957	63373048	-	ENSG00000221063	microRNA 1296 [Source:HGNC Symbol;Acc:HGNC:35249]	MIR1296	hsa-mir-1296
chr10	67403351	67403410	-	ENSG00000276866	microRNA 7151 [Source:HGNC Symbol;Acc:HGNC:50170]	MIR7151	hsa-mir-7151
chr10	68759318	68759414	+	ENSG00000221184	microRNA 1254-1 [Source:HGNC Symbol;Acc:HGNC:35319]	MIR1254-1	hsa-mir-1254-1
chr10	71790747	71790800	+	ENSG00000274824	microRNA 7152 [Source:HGNC Symbol;Acc:HGNC:50257]	MIR7152	hsa-mir-7152
chr10	72721029	72721100	+	ENSG00000266719	microRNA 4676 [Source:HGNC Symbol;Acc:HGNC:41691]	MIR4676	hsa-mir-4676
chr10	75552458	75552553	+	ENSG00000207583	microRNA 606 [Source:HGNC Symbol;Acc:HGNC:32862]	MIR606	hsa-mir-606
chr10	86264694	86264788	-	ENSG00000199104	microRNA 346 [Source:HGNC Symbol;Acc:HGNC:31780]	MIR346	hsa-mir-346
chr10	87503881	87503954	+	ENSG00000283672	microRNA 4678 [Source:HGNC Symbol;Acc:HGNC:41717]	MIR4678	hsa-mir-4678
chr10	89063336	89063410	+	ENSG00000283664	microRNA 4679-1 [Source:HGNC Symbol;Acc:HGNC:41612]	MIR4679-1	hsa-mir-4679-1
chr10	89592747	89592827	-	ENSG00000198997	microRNA 107 [Source:HGNC Symbol;Acc:HGNC:31496]	MIR107	hsa-mir-107
