chr	start	end	strand	ens_id	description	symbol
chr1	6590724	6614607	-	ENSG00000162413	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	KLHL21
chr1	6613685	6624033	+	ENSG00000116273	PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]	PHF13
chr1	6624866	6635586	+	ENSG00000041988	THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]	THAP3
chr1	6634168	6701924	-	ENSG00000007923	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	DNAJC11
chr1	6785324	7769706	+	ENSG00000171735	calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]	CAMTA1
chr1	7771269	7781432	+	ENSG00000049245	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	VAMP3
chr1	7784320	7845177	+	ENSG00000049246	period circadian clock 3 [Source:HGNC Symbol;Acc:HGNC:8847]	PER3
chr1	7843083	7853512	-	ENSG00000049247	urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]	UTS2
chr1	7915894	7943165	-	ENSG00000049249	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	TNFRSF9
chr1	7954291	7985505	+	ENSG00000116288	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	PARK7
chr1	8004404	8026308	-	ENSG00000116285	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	ERRFI1
chr1	8317826	8344167	+	ENSG00000162426	solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]	SLC45A1
chr1	8352397	8817643	-	ENSG00000142599	arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]	RERE
chr1	8861002	8879249	-	ENSG00000074800	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	ENO1
chr1	8945867	8975092	+	ENSG00000131686	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	CA6
chr1	9003300	9026345	-	ENSG00000197241	solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445]	SLC2A7
chr1	9035107	9088478	-	ENSG00000142583	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	SLC2A5
chr1	9100305	9129170	-	ENSG00000180758	G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687]	GPR157
chr1	9234775	9271337	+	ENSG00000049239	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	H6PD
chr1	9292880	9369532	+	ENSG00000171621	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	SPSB1
chr1	9539482	9585179	+	ENSG00000171612	solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]	SLC25A33
chr1	9588922	9614873	+	ENSG00000188807	transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719]	TMEM201
chr1	9651732	9729114	+	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	PIK3CD
chr1	9729026	9824526	-	ENSG00000171603	calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]	CLSTN1
chr1	9848276	9910336	-	ENSG00000178585	catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]	CTNNBIP1
chr1	9922113	9943407	-	ENSG00000162441	leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497]	LZIC
chr1	9943428	9985501	+	ENSG00000173614	nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]	NMNAT1
chr1	9997206	10016020	+	ENSG00000162444	retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]	RBP7
chr1	10032832	10181239	+	ENSG00000130939	ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]	UBE4B
chr1	10210805	10381603	+	ENSG00000054523	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	KIF1B
chr1	10398592	10420144	+	ENSG00000142657	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	PGD
chr1	10430102	10452153	+	ENSG00000251503	APITD1-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843]	APITD1-CORT
chr1	10430443	10442809	+	ENSG00000175279	centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	CENPS
chr1	10449719	10451902	+	ENSG00000241563	cortistatin [Source:HGNC Symbol;Acc:HGNC:2257]	CORT
chr1	10456522	10472526	-	ENSG00000160049	DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	DFFA
chr1	10472288	10630758	+	ENSG00000142655	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	PEX14
chr1	10636604	10796650	-	ENSG00000130940	castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]	CASZ1
chr1	10946471	10982037	-	ENSG00000175262	chromosome 1 open reading frame 127 [Source:HGNC Symbol;Acc:HGNC:26730]	C1orf127
chr1	11012344	11026420	+	ENSG00000120948	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	TARDBP
chr1	11026523	11047233	-	ENSG00000009724	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	MASP2
chr1	11054584	11060024	-	ENSG00000116649	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	SRM
chr1	11066618	11099881	-	ENSG00000171824	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	EXOSC10
chr1	11106535	11262507	-	ENSG00000198793	mechanistic target of rapamycin [Source:HGNC Symbol;Acc:HGNC:3942]	MTOR
chr1	11189341	11195981	+	ENSG00000171819	angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]	ANGPTL7
chr1	11273206	11296049	+	ENSG00000120942	UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]	UBIAD1
chr1	11479166	11537584	+	ENSG00000204624	dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]	DISP3
chr1	11648367	11655785	-	ENSG00000116661	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	FBXO2
chr1	11654375	11663327	+	ENSG00000132879	F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]	FBXO44
chr1	11664124	11674354	+	ENSG00000116663	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	FBXO6
chr1	11674480	11691650	-	ENSG00000116670	MAD2 mitotic arrest deficient-like 2 (yeast) [Source:HGNC Symbol;Acc:HGNC:6764]	MAD2L2
chr1	11691729	11725857	+	ENSG00000162490	dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]	DRAXIN
chr1	11736084	11754802	+	ENSG00000177674	angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]	AGTRAP
chr1	11761787	11789585	+	ENSG00000215910	chromosome 1 open reading frame 167 [Source:HGNC Symbol;Acc:HGNC:25262]	C1orf167
chr1	11785723	11806920	-	ENSG00000177000	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	MTHFR
chr1	11806096	11843144	+	ENSG00000011021	chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]	CLCN6
chr1	11845709	11848345	-	ENSG00000175206	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	NPPA
chr1	11857464	11858931	-	ENSG00000120937	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	NPPB
chr1	11919591	11926428	-	ENSG00000116685	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	KIAA2013
chr1	11934205	11975538	+	ENSG00000083444	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	PLOD1
chr1	11980181	12013514	+	ENSG00000116688	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	MFN2
chr1	12019466	12032045	+	ENSG00000116691	migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:HGNC:25715]	MIIP
chr1	12063377	12144207	+	ENSG00000120949	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	TNFRSF8
chr1	12166943	12209228	+	ENSG00000028137	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	TNFRSF1B
chr1	12230067	12512047	+	ENSG00000048707	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	VPS13D
chr1	12567910	12617731	-	ENSG00000162496	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	DHRS3
chr1	12644547	12667086	+	ENSG00000204518	arylacetamide deacetylase like 4 [Source:HGNC Symbol;Acc:HGNC:32038]	AADACL4
chr1	12716115	12728759	+	ENSG00000188984	arylacetamide deacetylase like 3 [Source:HGNC Symbol;Acc:HGNC:32037]	AADACL3
chr1	12746215	12763699	+	ENSG00000157330	chromosome 1 open reading frame 158 [Source:HGNC Symbol;Acc:HGNC:28567]	C1orf158
chr1	12774841	12777906	+	ENSG00000116726	PRAME family member 12 [Source:HGNC Symbol;Acc:HGNC:22125]	PRAMEF12
chr1	12791397	12796628	+	ENSG00000116721	PRAME family member 1 [Source:HGNC Symbol;Acc:HGNC:28840]	PRAMEF1
chr1	12824605	12831410	-	ENSG00000239810	PRAME family member 11 [Source:HGNC Symbol;Acc:HGNC:14086]	PRAMEF11
chr1	12847408	12848725	-	ENSG00000179172	heterogeneous nuclear ribonucleoprotein C-like 1 [Source:HGNC Symbol;Acc:HGNC:29295]	HNRNPCL1
chr1	12857086	12861909	+	ENSG00000120952	PRAME family member 2 [Source:HGNC Symbol;Acc:HGNC:28841]	PRAMEF2
chr1	12879224	12886201	-	ENSG00000243073	PRAME family member 4 [Source:HGNC Symbol;Acc:HGNC:31971]	PRAMEF4
chr1	12892896	12898270	-	ENSG00000187545	PRAME family member 10 [Source:HGNC Symbol;Acc:HGNC:27997]	PRAMEF10
chr1	12916610	12920482	+	ENSG00000204510	PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]	PRAMEF7
chr1	12938472	12947580	-	ENSG00000232423	PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]	PRAMEF6
chr1	13049476	13056491	-	ENSG00000274764	PRAME family member 27 [Source:HGNC Symbol;Acc:HGNC:51234]	PRAMEF27
chr1	13060853	13077884	+	ENSG00000229571	PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]	PRAMEF25
chr1	13060869	13062229	+	ENSG00000277058	heterogeneous nuclear ribonucleoprotein C-like 3 [Source:HGNC Symbol;Acc:HGNC:51235]	HNRNPCL3
chr1	13115496	13116854	-	ENSG00000275774	heterogeneous nuclear ribonucleoprotein C-like 2 [Source:HGNC Symbol;Acc:HGNC:48813]	HNRNPCL2
chr1	13148905	13155961	-	ENSG00000280267	PRAME family member 26 [Source:HGNC Symbol;Acc:HGNC:49178]	PRAMEF26
chr1	13164586	13165467	-	ENSG00000179412	heterogeneous nuclear ribonucleoprotein C-like 4 [Source:HGNC Symbol;Acc:HGNC:51333]	HNRNPCL4
chr1	13172455	13179464	+	ENSG00000204505	PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]	PRAMEF9
chr1	13222695	13226133	-	ENSG00000279804	PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]	PRAMEF18
chr1	13254212	13263314	+	ENSG00000270601	PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995]	PRAMEF5
chr1	13281035	13285174	-	ENSG00000182330	PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]	PRAMEF8
chr1	13303509	13322598	+	ENSG00000204501	PRAME family member 15 [Source:HGNC Symbol;Acc:HGNC:26764]	PRAMEF15
chr1	13342034	13347134	-	ENSG00000204481	PRAME family member 14 [Source:HGNC Symbol;Acc:HGNC:13576]	PRAMEF14
chr1	13369067	13371693	-	ENSG00000204480	PRAME family member 19 [Source:HGNC Symbol;Acc:HGNC:24908]	PRAMEF19
chr1	13389632	13392629	+	ENSG00000204479	PRAME family member 17 [Source:HGNC Symbol;Acc:HGNC:29485]	PRAMEF17
chr1	13410450	13421328	+	ENSG00000204478	PRAME family member 20 [Source:HGNC Symbol;Acc:HGNC:25224]	PRAMEF20
chr1	13474977	13514048	-	ENSG00000162494	leucine rich repeat containing 38 [Source:HGNC Symbol;Acc:HGNC:27005]	LRRC38
chr1	13583465	13617957	+	ENSG00000162493	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	PDPN
chr1	13700198	13825079	+	ENSG00000116731	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	PRDM2
chr1	13892792	15118043	+	ENSG00000189337	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	KAZN
chr1	15152532	15220480	+	ENSG00000171729	transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]	TMEM51
chr1	15247272	15400283	+	ENSG00000142621	forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408]	FHAD1
chr1	15409895	15430343	+	ENSG00000142634	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	EFHD2
chr1	15438439	15449242	+	ENSG00000162438	chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]	CTRC
chr1	15456728	15472091	+	ENSG00000142615	chymotrypsin like elastase family member 2A [Source:HGNC Symbol;Acc:HGNC:24609]	CELA2A
chr1	15465909	15491400	+	ENSG00000215704	chymotrypsin like elastase family member 2B [Source:HGNC Symbol;Acc:HGNC:29995]	CELA2B
chr1	15490832	15526534	-	ENSG00000132906	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	CASP9
chr1	15526813	15592379	+	ENSG00000116138	DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]	DNAJC16
chr1	15572353	15585110	-	ENSG00000116771	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	AGMAT
chr1	15617500	15669044	+	ENSG00000197312	DNA damage inducible 1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:24578]	DDI2
chr1	15659869	15661722	+	ENSG00000215695	regulator of solute carriers 1 [Source:HGNC Symbol;Acc:HGNC:10458]	RSC1A1
chr1	15684332	15734769	+	ENSG00000116786	pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]	PLEKHM2
chr1	15736405	15741396	+	ENSG00000162461	solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653]	SLC25A34
chr1	15742422	15747982	+	ENSG00000162460	transmembrane protein 82 [Source:HGNC Symbol;Acc:HGNC:32350]	TMEM82
