chr	start	end	strand	ens_id	description	symbol
chr1	6724637	6730012	+	ENSG00000228750	long intergenic non-protein coding RNA 1672 [Source:HGNC Symbol;Acc:HGNC:52460]	LINC01672
chr1	7693124	7694844	-	ENSG00000270171		
chr1	7698303	7698872	-	ENSG00000270035		
chr1	7700704	7700970	-	ENSG00000269978		
chr1	8026738	8122702	+	ENSG00000238290		
chr1	8202429	8215210	+	ENSG00000227634	long intergenic non-protein coding RNA 1714 [Source:HGNC Symbol;Acc:HGNC:52501]	LINC01714
chr1	8218190	8220529	-	ENSG00000233645		
chr1	8805860	8807051	-	ENSG00000228423		
chr1	9148011	9196983	-	ENSG00000228526	MIR34A host gene [Source:HGNC Symbol;Acc:HGNC:51913]	MIR34AHG
chr1	9182004	9196284	+	ENSG00000234546	long intergenic non-protein coding RNA 1759 [Source:HGNC Symbol;Acc:HGNC:52548]	LINC01759
chr1	9197143	9198906	-	ENSG00000281937		
chr1	9501092	9503471	-	ENSG00000235263		
chr1	11609531	11613355	+	ENSG00000235643	long intergenic non-protein coding RNA 1647 [Source:HGNC Symbol;Acc:HGNC:52434]	LINC01647
chr1	12527724	12528420	+	ENSG00000229484		
chr1	12618900	12619244	-	ENSG00000272482		
chr1	12822686	12823159	-	ENSG00000228338	long intergenic non-protein coding RNA 1784 [Source:HGNC Symbol;Acc:HGNC:52574]	LINC01784
chr1	13146981	13147460	-	ENSG00000233336		
chr1	13324039	13324518	+	ENSG00000228229		
chr1	13657311	13659910	-	ENSG00000237445		
chr1	14221891	14223118	-	ENSG00000231606		
chr1	14348955	14391575	-	ENSG00000234593		
chr1	15164344	15171317	-	ENSG00000204464	chromosome 1 open reading frame 195 [Source:HGNC Symbol;Acc:HGNC:32332]	C1orf195
chr1	15402979	15409433	-	ENSG00000228140		
chr1	15682873	15683128	-	ENSG00000271742		
chr1	16460948	16468481	+	ENSG00000226029	long intergenic non-protein coding RNA 1772 [Source:HGNC Symbol;Acc:HGNC:52562]	LINC01772
chr1	16514645	16515754	+	ENSG00000261135		
chr1	16520694	16521796	+	ENSG00000224174		
chr1	16533886	16536172	-	ENSG00000233421	long intergenic non-protein coding RNA 1783 [Source:HGNC Symbol;Acc:HGNC:52573]	LINC01783
chr1	16617391	16617729	+	ENSG00000271732		
chr1	16656879	16667524	+	ENSG00000282143		
chr1	16701546	16705594	+	ENSG00000279151		
chr1	16739938	16750589	-	ENSG00000282740		
chr1	16851257	16853129	-	ENSG00000223643		
chr1	16855407	16859284	+	ENSG00000230239		
chr1	16870945	16874092	+	ENSG00000228549		
chr1	16888538	16889649	-	ENSG00000238142		
chr1	16904339	16904776	-	ENSG00000272426		
chr1	17189783	17197617	+	ENSG00000204362		
chr1	17193232	17201733	-	ENSG00000282843		
chr1	17717687	17749978	+	ENSG00000236648		
chr1	18065657	18074412	+	ENSG00000261781	long intergenic non-protein coding RNA 1654 [Source:HGNC Symbol;Acc:HGNC:52442]	LINC01654
chr1	18385829	18388514	+	ENSG00000225387		
chr1	20154338	20160568	+	ENSG00000227066		
chr1	20243095	20244655	+	ENSG00000228105	long intergenic non-protein coding RNA 1757 [Source:HGNC Symbol;Acc:HGNC:52546]	LINC01757
chr1	20360579	20431234	-	ENSG00000236963	long intergenic non-protein coding RNA 1141 [Source:HGNC Symbol;Acc:HGNC:49455]	LINC01141
chr1	20412304	20413253	-	ENSG00000226487		
chr1	21415898	21417492	+	ENSG00000236009		
chr1	22023990	22026048	-	ENSG00000228397	long intergenic non-protein coding RNA 1635 [Source:HGNC Symbol;Acc:HGNC:52422]	LINC01635
chr1	22024531	22031225	+	ENSG00000218510	long intergenic non-protein coding RNA 339 [Source:HGNC Symbol;Acc:HGNC:25011]	LINC00339
chr1	22100613	22101360	+	ENSG00000271840		
chr1	23281309	23286752	-	ENSG00000261326	long intergenic non-protein coding RNA 1355 [Source:HGNC Symbol;Acc:HGNC:50584]	LINC01355
chr1	23378380	23379029	-	ENSG00000271420		
chr1	23549139	23550915	-	ENSG00000235052		
chr1	24200240	24211693	+	ENSG00000230023		
chr1	24538802	24556024	-	ENSG00000264443		
chr1	24968423	24970865	-	ENSG00000261025		
chr1	25043707	25113120	-	ENSG00000233755		
chr1	25247837	25248321	+	ENSG00000272432		
chr1	25581478	25590356	+	ENSG00000225643		
chr1	27457198	27459582	+	ENSG00000241169		
chr1	27660328	27662722	-	ENSG00000233975		
chr1	28247144	28247568	+	ENSG00000271398		
chr1	28643228	28648581	+	ENSG00000229388	long intergenic non-protein coding RNA 1715 [Source:HGNC Symbol;Acc:HGNC:52502]	LINC01715
chr1	28648600	28648730	+	ENSG00000270103		
chr1	29144494	29146994	-	ENSG00000225750		
chr1	29329620	29350114	-	ENSG00000230523	long intergenic non-protein coding RNA 1756 [Source:HGNC Symbol;Acc:HGNC:52545]	LINC01756
chr1	29708851	29709547	-	ENSG00000228176		
chr1	30013952	30037612	-	ENSG00000233399	long intergenic non-protein coding RNA 1648 [Source:HGNC Symbol;Acc:HGNC:52435]	LINC01648
chr1	30140263	30141607	+	ENSG00000233372		
chr1	30409560	30411638	-	ENSG00000236335		
chr1	30415825	30421108	+	ENSG00000231949		
chr1	30810378	30815553	-	ENSG00000229607		
chr1	30824228	30834431	+	ENSG00000223382	long intergenic non-protein coding RNA 1778 [Source:HGNC Symbol;Acc:HGNC:52568]	LINC01778
chr1	31842019	31855568	-	ENSG00000203620		
chr1	31851913	31921841	-	ENSG00000269967		
chr1	31933020	31933975	+	ENSG00000228634		
chr1	32349194	32350663	-	ENSG00000233775		
chr1	33261212	33261680	+	ENSG00000270115		
chr1	35929720	35930115	-	ENSG00000271914		
chr1	37262739	37325100	-	ENSG00000223944		
chr1	38047314	38119025	+	ENSG00000224592		
chr1	38209034	38214767	-	ENSG00000237290	long intergenic non-protein coding RNA 1343 [Source:HGNC Symbol;Acc:HGNC:50553]	LINC01343
chr1	38474875	38496034	+	ENSG00000238063	long intergenic non-protein coding RNA 1685 [Source:HGNC Symbol;Acc:HGNC:52473]	LINC01685
chr1	40669089	40687588	-	ENSG00000237899		
chr1	41242373	41284861	+	ENSG00000235358		
chr1	42678735	42681659	+	ENSG00000234917		
chr1	42959049	42983358	+	ENSG00000227533	SLC2A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44187]	SLC2A1-AS1
chr1	42959065	42961864	-	ENSG00000283973		
chr1	44030443	44115913	+	ENSG00000230615		
chr1	45303910	45305619	+	ENSG00000281912	long intergenic non-protein coding RNA 1144 [Source:HGNC Symbol;Acc:HGNC:49460]	LINC01144
chr1	47096653	47179271	-	ENSG00000225506	CYP4A22 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43715]	CYP4A22-AS1
chr1	47688463	47703383	+	ENSG00000227947	long intergenic non-protein coding RNA 1738 [Source:HGNC Symbol;Acc:HGNC:52526]	LINC01738
chr1	47761132	47765547	-	ENSG00000223814		
chr1	47818066	47820237	+	ENSG00000225028		
chr1	48050659	48091736	+	ENSG00000226133		
chr1	48078787	48082196	-	ENSG00000231413		
chr1	48172972	48206857	+	ENSG00000223720		
chr1	51195095	51235096	-	ENSG00000203356	long intergenic non-protein coding RNA 1562 [Source:HGNC Symbol;Acc:HGNC:51335]	LINC01562
chr1	52554818	52555273	+	ENSG00000272371		
chr1	53328233	53336509	+	ENSG00000225675	long intergenic non-protein coding RNA 1771 [Source:HGNC Symbol;Acc:HGNC:52561]	LINC01771
chr1	53348488	53349233	-	ENSG00000226938		
chr1	53366668	53368245	-	ENSG00000230138		
chr1	54416256	54420860	+	ENSG00000232245		
chr1	54516412	54517259	-	ENSG00000235741		
chr1	55217861	55234177	+	ENSG00000231090		
chr1	55581037	55868248	+	ENSG00000234810		
chr1	55915607	55944974	-	ENSG00000230250	long intergenic non-protein coding RNA 1753 [Source:HGNC Symbol;Acc:HGNC:52541]	LINC01753
chr1	55945087	55950119	+	ENSG00000233079	long intergenic non-protein coding RNA 1755 [Source:HGNC Symbol;Acc:HGNC:52543]	LINC01755
chr1	56145721	56155224	+	ENSG00000235612		
chr1	56248294	56258571	-	ENSG00000260971		
chr1	56414963	56415966	+	ENSG00000223956	long intergenic non-protein coding RNA 1767 [Source:HGNC Symbol;Acc:HGNC:52557]	LINC01767
chr1	57386576	57387450	+	ENSG00000227935		
chr1	58060139	58080274	+	ENSG00000235038		
chr1	58715609	58771295	+	ENSG00000283445		
chr1	58785160	58899594	+	ENSG00000234807	long intergenic non-protein coding RNA 1135 [Source:HGNC Symbol;Acc:HGNC:49450]	LINC01135
chr1	58812808	58813342	-	ENSG00000272226		
chr1	58838448	58851254	-	ENSG00000231740		
chr1	58882868	58903747	-	ENSG00000232453		
chr1	58933643	59240555	+	ENSG00000237352	long intergenic non-protein coding RNA 1358 [Source:HGNC Symbol;Acc:HGNC:50589]	LINC01358
chr1	59054397	59056049	-	ENSG00000241042		
chr1	59055999	59078116	-	ENSG00000235215		
chr1	59289303	59289640	-	ENSG00000270457		
chr1	60114875	60149679	+	ENSG00000238242		
chr1	60515716	60640491	-	ENSG00000226476	long intergenic non-protein coding RNA 1748 [Source:HGNC Symbol;Acc:HGNC:52535]	LINC01748
chr1	60659631	60867998	-	ENSG00000231252		
chr1	61741998	61742424	-	ENSG00000271200		
chr1	62896009	62901639	+	ENSG00000234318		
chr1	63000497	63012471	-	ENSG00000229537	long intergenic non-protein coding RNA 1739 [Source:HGNC Symbol;Acc:HGNC:52527]	LINC01739
chr1	63024207	63025658	+	ENSG00000227485		
chr1	63078081	63079031	-	ENSG00000229225		
chr1	63139250	63163153	+	ENSG00000203605		
chr1	63249920	63251771	+	ENSG00000228734		
chr1	65003470	65004087	-	ENSG00000272506		
chr1	65066627	65067737	-	ENSG00000231485		
chr1	67522347	67532612	+	ENSG00000235200	long intergenic non-protein coding RNA 1702 [Source:HGNC Symbol;Acc:HGNC:52490]	LINC01702
chr1	69055898	69185003	+	ENSG00000223883	long intergenic non-protein coding RNA 1707 [Source:HGNC Symbol;Acc:HGNC:52495]	LINC01707
chr1	69243372	69249423	-	ENSG00000235446		
chr1	69433255	69435409	+	ENSG00000229639	long intergenic non-protein coding RNA 1758 [Source:HGNC Symbol;Acc:HGNC:52547]	LINC01758
chr1	70445071	70445536	+	ENSG00000271992		
chr1	70706453	70786468	+	ENSG00000229051	long intergenic non-protein coding RNA 1788 [Source:HGNC Symbol;Acc:HGNC:52577]	LINC01788
chr1	70715933	70720289	-	ENSG00000226208		
chr1	72748921	72899140	-	ENSG00000225087		
chr1	72765031	72791282	+	ENSG00000227016		
chr1	73306170	73355253	+	ENSG00000233973	long intergenic non-protein coding RNA 1360 [Source:HGNC Symbol;Acc:HGNC:50593]	LINC01360
chr1	73635216	73715214	+	ENSG00000223479		
chr1	74698769	74699333	-	ENSG00000272864		
chr1	74963314	74965118	+	ENSG00000229943		
chr1	75122518	75123927	-	ENSG00000261213		
chr1	75932479	76019356	+	ENSG00000225605		
chr1	76041691	76066228	+	ENSG00000230027		
chr1	76636877	76637339	+	ENSG00000272855		
chr1	76758124	76779267	-	ENSG00000237552		
chr1	79323769	79324852	-	ENSG00000282898		
chr1	79323769	79324863	+	ENSG00000235011		
chr1	80114943	80116918	+	ENSG00000260322		
chr1	80373364	80374621	-	ENSG00000225598		
chr1	80534978	80584363	-	ENSG00000224326		
chr1	80535755	80646788	+	ENSG00000234184	long intergenic non-protein coding RNA 1781 [Source:HGNC Symbol;Acc:HGNC:52571]	LINC01781
chr1	82215220	82261133	-	ENSG00000233290		
chr1	82903183	83166815	+	ENSG00000230817	long intergenic non-protein coding RNA 1362 [Source:HGNC Symbol;Acc:HGNC:50596]	LINC01362
chr1	82973882	82986208	-	ENSG00000236268	long intergenic non-protein coding RNA 1361 [Source:HGNC Symbol;Acc:HGNC:50595]	LINC01361
chr1	83445967	83462687	+	ENSG00000231364	long intergenic non-protein coding RNA 1712 [Source:HGNC Symbol;Acc:HGNC:52499]	LINC01712
chr1	83575776	83861023	-	ENSG00000233008	long intergenic non-protein coding RNA 1725 [Source:HGNC Symbol;Acc:HGNC:52513]	LINC01725
chr1	83790280	83801465	+	ENSG00000237076		
chr1	84076331	84077931	-	ENSG00000271576		
chr1	84628230	84635020	-	ENSG00000180869	long intergenic non-protein coding RNA 1555 [Source:HGNC Symbol;Acc:HGNC:26647]	LINC01555
chr1	85467295	85467660	+	ENSG00000273264		
chr1	85482281	85578250	-	ENSG00000282057		
chr1	85578500	85578742	-	ENSG00000272691		
chr1	85599131	85600734	+	ENSG00000230285		
chr1	87129765	87169198	+	ENSG00000267272	long intergenic non-protein coding RNA 1140 [Source:HGNC Symbol;Acc:HGNC:27922]	LINC01140
chr1	87212669	87264741	+	ENSG00000284240		
chr1	87353524	87371655	-	ENSG00000227290	long intergenic non-protein coding RNA 1364 [Source:HGNC Symbol;Acc:HGNC:50599]	LINC01364
chr1	87899909	87905714	-	ENSG00000224235	long intergenic non-protein coding RNA 1773 [Source:HGNC Symbol;Acc:HGNC:52563]	LINC01773
chr1	89820174	89820868	-	ENSG00000272931		
chr1	89939601	89940147	+	ENSG00000272672		
chr1	90510910	90533472	-	ENSG00000229201		
chr1	90851759	90855253	+	ENSG00000225446	long intergenic non-protein coding RNA 1763 [Source:HGNC Symbol;Acc:HGNC:52554]	LINC01763
chr1	90860550	90862920	-	ENSG00000272094		
chr1	92189237	92190707	+	ENSG00000273487		
chr1	93847174	93848939	+	ENSG00000260464		
chr1	94247866	94334848	+	ENSG00000226835		
chr1	94318479	94324569	-	ENSG00000236098		
chr1	94585556	94592297	-	ENSG00000223675		
chr1	95310928	95318263	-	ENSG00000228504	long intergenic non-protein coding RNA 1760 [Source:HGNC Symbol;Acc:HGNC:52549]	LINC01760
chr1	95351251	95352254	-	ENSG00000230434	long intergenic non-protein coding RNA 1650 [Source:HGNC Symbol;Acc:HGNC:52437]	LINC01650
chr1	95356229	95381000	-	ENSG00000237954		
chr1	95474737	95479356	+	ENSG00000233907	long intergenic non-protein coding RNA 1761 [Source:HGNC Symbol;Acc:HGNC:52551]	LINC01761
chr1	95510116	95782342	+	ENSG00000228971		
chr1	95743096	95759470	+	ENSG00000271252		
chr1	95937901	96022880	+	ENSG00000237435		
chr1	96254069	96374125	-	ENSG00000231987	long intergenic non-protein coding RNA 1787 [Source:HGNC Symbol;Acc:HGNC:52576]	LINC01787
chr1	97933474	97941746	-	ENSG00000269998	long intergenic non-protein coding RNA 1930 [Source:HGNC Symbol;Acc:HGNC:52744]	LINC01930
chr1	97967005	97968814	-	ENSG00000259946		
chr1	97986740	98049863	-	ENSG00000225206	MIR137 host gene [Source:HGNC Symbol;Acc:HGNC:42871]	MIR137HG
chr1	98210747	98272658	+	ENSG00000226053	long intergenic non-protein coding RNA 1776 [Source:HGNC Symbol;Acc:HGNC:52566]	LINC01776
chr1	99472332	99600995	-	ENSG00000224445	long intergenic non-protein coding RNA 1708 [Source:HGNC Symbol;Acc:HGNC:52496]	LINC01708
chr1	100344477	100345242	+	ENSG00000223906		
chr1	100627049	100640613	-	ENSG00000230402	long intergenic non-protein coding RNA 1349 [Source:HGNC Symbol;Acc:HGNC:50568]	LINC01349
chr1	101323337	101390303	+	ENSG00000231671	long intergenic non-protein coding RNA 1307 [Source:HGNC Symbol;Acc:HGNC:50494]	LINC01307
chr1	101639548	101787572	+	ENSG00000226715	long intergenic non-protein coding RNA 1709 [Source:HGNC Symbol;Acc:HGNC:52497]	LINC01709
chr1	102199739	102389630	-	ENSG00000233359		
chr1	102763322	102853842	-	ENSG00000230864		
chr1	103414879	103425465	+	ENSG00000230759		
chr1	105587575	105618958	-	ENSG00000230768	long intergenic non-protein coding RNA 1676 [Source:HGNC Symbol;Acc:HGNC:52464]	LINC01676
chr1	105927624	106028277	-	ENSG00000233047	long intergenic non-protein coding RNA 1677 [Source:HGNC Symbol;Acc:HGNC:52465]	LINC01677
chr1	105956694	106124564	+	ENSG00000237480		
chr1	106818239	106838167	+	ENSG00000237460	long intergenic non-protein coding RNA 1661 [Source:HGNC Symbol;Acc:HGNC:52449]	LINC01661
chr1	108040263	108076020	+	ENSG00000226822		
chr1	108261196	108273689	-	ENSG00000238122		
chr1	108420689	108433184	+	ENSG00000224698		
chr1	109100193	109100619	+	ENSG00000270066		
chr1	109828355	109871436	+	ENSG00000228420	long intergenic non-protein coding RNA 1768 [Source:HGNC Symbol;Acc:HGNC:52558]	LINC01768
chr1	109895973	109897861	+	ENSG00000261055		
chr1	110472543	110474980	+	ENSG00000282887		
chr1	110487680	110490258	-	ENSG00000235407	CYMP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52509]	CYMP-AS1
chr1	110653560	110657040	-	ENSG00000259834		
chr1	111599655	111608723	-	ENSG00000231346	long intergenic non-protein coding RNA 1160 [Source:HGNC Symbol;Acc:HGNC:49525]	LINC01160
chr1	111989770	111998842	+	ENSG00000231437	long intergenic non-protein coding RNA 1750 [Source:HGNC Symbol;Acc:HGNC:52538]	LINC01750
chr1	112177234	112360528	-	ENSG00000231246		
chr1	112820170	112850643	-	ENSG00000215866	long intergenic non-protein coding RNA 1356 [Source:HGNC Symbol;Acc:HGNC:50587]	LINC01356
chr1	112850028	112877871	+	ENSG00000224167		
chr1	113011687	113073105	-	ENSG00000238198		
chr1	114206427	114262278	-	ENSG00000232895		
chr1	115099672	115102658	+	ENSG00000233730	long intergenic non-protein coding RNA 1765 [Source:HGNC Symbol;Acc:HGNC:52555]	LINC01765
chr1	115919350	115931561	+	ENSG00000228127	long intergenic non-protein coding RNA 1649 [Source:HGNC Symbol;Acc:HGNC:52436]	LINC01649
chr1	116164284	116166241	+	ENSG00000235933	long intergenic non-protein coding RNA 1779 [Source:HGNC Symbol;Acc:HGNC:52569]	LINC01779
chr1	116423724	116478842	-	ENSG00000233154	long intergenic non-protein coding RNA 1762 [Source:HGNC Symbol;Acc:HGNC:52552]	LINC01762
chr1	116429049	116433368	-	ENSG00000230381		
chr1	116493016	116499212	-	ENSG00000224950		
chr1	116694112	116706603	+	ENSG00000203864	chromosome 1 open reading frame 137 [Source:HGNC Symbol;Acc:HGNC:32040]	C1orf137
chr1	116909149	116909531	-	ENSG00000272715		
chr1	117295520	117321336	+	ENSG00000235202	long intergenic non-protein coding RNA 1525 [Source:HGNC Symbol;Acc:HGNC:51264]	LINC01525
chr1	117364899	117365473	-	ENSG00000271427		
chr1	119000344	119001392	-	ENSG00000226172		
chr1	119000618	119001405	-	ENSG00000239216		
chr1	119260265	119327303	-	ENSG00000227712		
chr1	119328176	119356182	+	ENSG00000232650	long intergenic non-protein coding RNA 1780 [Source:HGNC Symbol;Acc:HGNC:52570]	LINC01780
chr1	120076616	120077091	+	ENSG00000273406		
chr1	120913275	121009291	+	ENSG00000226067	long intergenic non-protein coding RNA 623 [Source:HGNC Symbol;Acc:HGNC:44252]	LINC00623
chr1	121118126	121146826	+	ENSG00000227193		
chr1	121396754	121463129	+	ENSG00000227082		
chr1	121412719	121429274	+	ENSG00000231429		
chr1	121494379	121510383	-	ENSG00000228826		
chr1	121518366	121518829	-	ENSG00000272583		
chr1	121573946	121580524	-	ENSG00000224857	long intergenic non-protein coding RNA 1691 [Source:HGNC Symbol;Acc:HGNC:52479]	LINC01691
chr1	143499187	143500512	-	ENSG00000235887		
chr1	143736066	143739506	+	ENSG00000232721		
chr1	143790010	143797108	+	ENSG00000263590		
chr1	143877731	143885076	-	ENSG00000234571		
chr1	144227030	144250288	-	ENSG00000232527		
chr1	144418113	144419192	-	ENSG00000237343		
chr1	144627192	144642372	-	ENSG00000277199	long intergenic non-protein coding RNA 1632 [Source:HGNC Symbol;Acc:HGNC:52419]	LINC01632
chr1	144641371	144919902	+	ENSG00000224363		
chr1	145281116	145281462	+	ENSG00000276216		
chr1	145286610	145287755	-	ENSG00000236140		
chr1	146052566	146061948	+	ENSG00000233396	long intergenic non-protein coding RNA 1719 [Source:HGNC Symbol;Acc:HGNC:52506]	LINC01719
chr1	146235806	146237807	+	ENSG00000276509		
chr1	146514471	146525289	+	ENSG00000277420		
chr1	147001931	147003618	-	ENSG00000234225		
chr1	147697794	147699335	+	ENSG00000227139		
chr1	147777590	147788953	+	ENSG00000234190		
chr1	147993862	148014956	-	ENSG00000215859		
chr1	148011799	148012228	+	ENSG00000273059		
chr1	148021850	148025931	+	ENSG00000274372		
chr1	148159213	148255012	-	ENSG00000227733		
chr1	148162360	148186630	+	ENSG00000232265		
chr1	148271884	148280749	-	ENSG00000234283	long intergenic non-protein coding RNA 1731 [Source:HGNC Symbol;Acc:HGNC:52519]	LINC01731
chr1	148295180	148297556	+	ENSG00000238107		
chr1	148328999	148344636	+	ENSG00000224481		
chr1	148358245	148358686	-	ENSG00000272824		
chr1	149048576	149051273	+	ENSG00000254539		
chr1	149176022	149251013	+	ENSG00000274265		
chr1	149264252	149264816	+	ENSG00000272755		
chr1	149606334	149679523	+	ENSG00000277147	long intergenic non-protein coding RNA 869 [Source:HGNC Symbol;Acc:HGNC:29050]	LINC00869
chr1	149607765	149612402	+	ENSG00000275557		
chr1	149845816	149846486	+	ENSG00000272993		
chr1	150515757	150518032	+	ENSG00000228126	focally amplified long non-coding RNA in epithelial cancer [Source:HGNC Symbol;Acc:HGNC:43713]	FALEC
chr1	151327949	151328429	+	ENSG00000273481		
chr1	151798054	151798602	+	ENSG00000269489		
chr1	152205858	152207057	+	ENSG00000236427		
chr1	152655477	152656804	+	ENSG00000176075	long intergenic non-protein coding RNA 302 [Source:HGNC Symbol;Acc:HGNC:31825]	LINC00302
chr1	153174518	153191676	+	ENSG00000229699		
chr1	153977743	153979160	+	ENSG00000272654		
chr1	154937370	154938059	+	ENSG00000270361		
chr1	156388226	156395609	+	ENSG00000237390		
chr1	156446412	156456577	-	ENSG00000236947		
chr1	156509854	156511681	+	ENSG00000260460		
chr1	156614742	156615288	-	ENSG00000272971		
chr1	156637783	156641004	-	ENSG00000272068		
chr1	156687695	156691997	-	ENSG00000237588		
chr1	157232231	157237136	-	ENSG00000228239		
chr1	157280716	157283068	+	ENSG00000271736		
chr1	157287703	157288053	-	ENSG00000237189		
chr1	158132040	158146929	-	ENSG00000231666	long intergenic non-protein coding RNA 1704 [Source:HGNC Symbol;Acc:HGNC:52492]	LINC01704
chr1	158197922	158203877	-	ENSG00000176320		
chr1	159466321	159483376	+	ENSG00000224943		
chr1	159961218	159984750	+	ENSG00000224259	long intergenic non-protein coding RNA 1133 [Source:HGNC Symbol;Acc:HGNC:49447]	LINC01133
chr1	160931739	160934380	-	ENSG00000232188		
chr1	161399409	161422424	+	ENSG00000283696		
chr1	161403409	161470523	-	ENSG00000283360		
chr1	161433444	161440996	-	ENSG00000283317		
chr1	162039016	162039567	+	ENSG00000227818		
chr1	163259850	163260659	+	ENSG00000237756		
chr1	165598463	165623331	+	ENSG00000236206		
chr1	165706556	165707284	-	ENSG00000273365		
chr1	166334884	166335762	+	ENSG00000229588		
chr1	166387727	166452632	-	ENSG00000225325		
chr1	166475772	166490039	-	ENSG00000234142	long intergenic non-protein coding RNA 1675 [Source:HGNC Symbol;Acc:HGNC:52463]	LINC01675
chr1	167219831	167220512	-	ENSG00000272205		
chr1	167457742	167459891	-	ENSG00000273160		
chr1	168400829	168495685	-	ENSG00000228697		
chr1	168401483	168407274	-	ENSG00000283255		
chr1	168763365	168774490	-	ENSG00000235736		
chr1	168786939	168792886	+	ENSG00000225826	long intergenic non-protein coding RNA 626 [Source:HGNC Symbol;Acc:HGNC:44257]	LINC00626
chr1	169486076	169486986	+	ENSG00000213062		
chr1	169762929	169764648	-	ENSG00000230704		
chr1	170174403	170241287	+	ENSG00000233985	long intergenic non-protein coding RNA 1681 [Source:HGNC Symbol;Acc:HGNC:52468]	LINC01681
chr1	170271603	170284208	-	ENSG00000224286	long intergenic non-protein coding RNA 1142 [Source:HGNC Symbol;Acc:HGNC:49456]	LINC01142
chr1	170587249	170588236	-	ENSG00000225545		
chr1	170598854	170647339	+	ENSG00000235303		
chr1	170667381	170669425	+	ENSG00000271811		
chr1	172775905	173064015	+	ENSG00000224228		
chr1	172906900	172907684	+	ENSG00000224000		
chr1	173174300	173175503	-	ENSG00000226375		
chr1	174022509	174022985	+	ENSG00000224977		
chr1	174115300	174160004	-	ENSG00000227373		
chr1	175203228	175204849	-	ENSG00000230687		
